trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.9121051495450904, 'e': 0.3985190410845142}",20,14,-1.0589253117582942,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.9111935002961405, 'e': 0.39455371037160114}",30,19,-27.988038476948134,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.910282762240767, 'e': 0.3906278353585211}",20,8,-28.358310484415338,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.9093729344682314, 'e': 0.3867410234545012}",25,9,-6.1561861175976205,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
96,False,"{'a': 0.9084640160687062, 'e': 0.38289288597511206}",25,0,-17.66547917615158,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.9075560061332727, 'e': 0.37908303810339883}",25,19,-30.234782971109798,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.9066489037539209, 'e': 0.37531109885139957}",25,9,-39.56425290969554,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 0}",1
99,False,"{'a': 0.9057427080235485, 'e': 0.3715766910220457}",30,0,1.2367837389171914,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.9048374180359596, 'e': 0.36787944117144233}",25,0,-2.1397970516642886,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.9039330328858641, 'e': 0.3642189795715233}",20,5,13.247664092647657,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.9030295516688768, 'e': 0.3605949401730783}",30,13,-133.87751341891226,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 3}",1
103,False,"{'a': 0.9021269734815165, 'e': 0.3570069605691474}",25,4,-19.34171435164366,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.9012252974212048, 'e': 0.35345468195878016}",20,13,-10.277451833406888,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.9003245225862656, 'e': 0.3499377491111553}",35,0,-118.9949297493049,"{0: 29, 1: 0, 2: 2, 3: 1, 4: 3}",0
106,False,"{'a': 0.899424648075924, 'e': 0.34645581033005746}",20,10,-36.735749425133925,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
107,False,"{'a': 0.8985256729903055, 'e': 0.3430085174187067}",25,6,-17.20179624491864,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
108,False,"{'a': 0.8976275964304349, 'e': 0.33959552564493917}",20,11,-13.77395197542064,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.8967304174982355, 'e': 0.33621649370673334}",20,0,-43.559080172716534,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
110,False,"{'a': 0.8958341352965282, 'e': 0.33287108369807955}",30,14,11.058009072918715,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.894938748929031, 'e': 0.32955896107518906}",30,21,15.866766240259006,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8940442575003572, 'e': 0.32627979462303947}",25,15,-7.04104361281071,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.8931506601160155, 'e': 0.3230332564222529}",20,0,-1.023258181950303,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.8922579558824083, 'e': 0.3198190218163039}",30,13,-1.9993793153507042,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.8913661439068313, 'e': 0.3166367693790532}",25,11,-5.60520778611453,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.8904752232974726, 'e': 0.3134861808826054}",25,9,-6.667146505263553,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.8895851931634113, 'e': 0.31036694126548503}",20,0,28.099894891611587,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.8886960526146174, 'e': 0.30727873860113125}",30,16,28.107764916131565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.8878078007619501, 'e': 0.3042212640667041}",25,1,38.315236515732536,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
